,Unnamed: 0,Box Office,IMDB,Metacritic,Released,Rotten Tomatoes,Rank,Worldwide Box Office,Domestic Box Office,International Box Office,Awards,Actors_1,Actors_2,Actors_3,directors_1,directors_2,Country_1,language_1,language_2,Genre_1,Genre_2
23,23,364000000,8.9,94,37972,0.93,21,1141403341,377845905,763557436,11,4489,179,5329,1313,0,38,27,75,1,7
24,24,84136909,7.2,63,38177,0.66,1733,89476265,84136909,5339356,0,6054,1056,4661,5,0,63,27,32,4,0
25,25,85974306,7.0,66,38107,0.83,1227,130953026,86047227,44905799,0,3664,4808,5787,1081,0,63,27,34,4,0
26,26,0,8.0,74,38443,0.77,1033,158527918,74103820,84424098,0,2768,1524,165,513,1447,63,27,0,5,20
27,27,204100000,8.2,70,38518,0.84,348,359142722,205343774,153798948,0,1049,4142,3638,286,0,63,27,105,0,1
28,28,132300000,8.5,85,38996,0.91,490,289660619,132384315,157276304,4,3608,3994,2421,1090,0,63,27,17,5,7
29,29,53100000,8.5,66,39010,0.76,1484,104407366,53089891,51317475,0,2301,1049,4142,286,0,63,27,0,7,15
30,30,70500000,8.2,62,38793,0.73,1232,130214162,70511035,59703127,0,4378,2307,5531,690,0,63,27,0,0,7
31,31,167007184,8.0,80,39038,0.94,153,594420283,167365000,427055283,0,1287,1870,3804,1086,0,62,27,32,0,1
32,32,167007184,8.0,80,39038,0.94,3042,41744718,22744718,19000000,0,1287,1870,3804,1086,0,62,27,32,0,1
33,33,319014499,7.1,61,39266,0.57,108,708272592,319246193,389026399,0,5426,4080,3098,1118,0,63,27,92,0,1
34,34,533316061,9.0,84,39647,0.94,39,1001996207,533720947,468275260,2,1049,2228,8,286,0,63,27,57,0,5
35,35,318298180,7.9,79,39570,0.93,159,585171547,318604126,266567421,0,5044,5705,2662,885,0,63,27,70,0,1
36,36,168400000,6.6,58,39766,0.65,154,591692078,169368427,422323651,0,1287,4513,3986,1037,0,62,27,92,0,1
37,37,110416702,7.0,71,39673,0.81,822,191145256,110515313,80629943,0,2671,5044,408,128,0,63,27,57,0,1
38,38,150167630,5.8,32,40032,0.34,463,302469017,150201498,152267519,0,53,1086,2159,1577,0,63,27,32,0,1
39,39,277313371,7.7,73,39969,0.78,229,465764086,277322503,188441583,0,704,1664,6144,1673,0,63,27,0,4,0
40,40,120523073,8.3,69,40046,0.88,428,316915264,120774594,196140670,1,700,4354,1076,1352,464,18,27,34,1,7
41,41,257704099,8.0,82,39941,0.94,297,386839614,257730019,129109595,1,1039,6154,3604,657,0,63,27,0,0,1
42,42,144924285,7.8,51,39843,0.58,667,226941585,145000989,81940596,0,3638,3813,3586,1344,0,17,27,32,0,20
43,43,292979556,8.2,88,39962,0.98,103,731463377,293004164,438459213,2,1693,1101,3063,1295,159,63,27,0,2,1
44,44,292979556,8.2,88,39962,0.98,103,731463377,293004164,438459213,1,1693,1101,3063,1295,159,63,27,0,2,1
45,45,179737340,6.6,40,39934,0.37,315,374825760,179883157,194942603,0,2301,3642,1319,549,0,63,27,0,0,1
46,46,75590286,7.6,73,40088,0.9,1524,102236596,75590286,26646310,0,2762,6106,1811,1485,0,63,27,0,1,4
47,47,166112167,5.8,49,40130,0.4,96,757677748,166112167,591565581,0,2913,230,1007,1472,0,63,27,32,0,1
48,48,749700000,7.8,83,40165,0.82,1,2776345279,760507625,2015837654,3,5241,6171,5442,671,0,62,27,92,0,1
49,49,251476985,7.7,72,40368,0.81,181,543464573,251513985,291950588,0,5545,2616,5188,1343,261,63,27,0,2,4
